Codigo,Curso
0017,Area Social Humanistica 1
0101,Area Matematica Basica 1
0005,Tecnicas de Estudio e Investigacion
0039,Deportes 1
0006,Idioma Tecnico 1
0019,Area Social Humanistica 2
0103,Area Matematica Basica 2
0960,Matematica Para Computacion 1
0147,Fisica Basica
0040,Deportes 2
0008,Idioma Tecnico 2
0795,Logica de Sistemas
0962,Matematica Para Computacion 2
0770,Introduccion a la Programacion y Computacion 1
0107,Area Matematica Intermedia 1
0150,Fisica 1
0001,Etica Profesional
0009,Idioma Tecnico 3
0796,Lenguajes Formales y de Programacion
0771,Introduccion a la Programacion y Computacion 2
0112,Area Matematica Intermedia 2
0152,Fisica 2
0010,Logica
0116,Matematica Aplicada 3
0732,Estadistica 1
0777,Organizacion de Lenguajes y Compiladores 1
0964,Organizacion Computacional
0772,Estructuras de Datos
0018,Filosofia de la Ciencia
0118,Matematica Aplicada 1
0722,Teoria de Sistemas 1
0601,Investigacion de Operaciones 1
0014,Economia
0781,Organizacion de Lenguajes y Compiladores 2
0778,Arquitectura de Computadoras y Ensambladores 1
0773,Manejo e Implementacion de Archivos
0122,Matematica Aplicada 4
0120,Matematica Aplicada 2
0200,Ingenieria Electrica 1
0724,Teoria de Sistemas 2
0603,Investigacion de Operaciones 2
0734,Estadistica 2
0281,Sistemas Operativos 1
0779,Arquitectura de Computadoras y Ensambladores 2
0970,Redes de Computadoras 1
0774,Sistemas de Bases de Datos 1
2036,Practicas Intermedias
0285,Sistemas Operativos 2
0975,Redes de Computadoras 2
0775,Sistemas de Bases de Datos 2
0283,Analisis y Diseno de Sistemas 1
0797,Seminario de Sistemas 1
0700,Ingenieria Economica 1
0729,Modelacion y Simulacion 1
0786,Sistemas Organizacionales y Gerenciales 1
0772,Inteligencia Artificial 1
0966,Seguridad y Auditoria de Redes de Computadoras
0785,Analisis y Diseno de Sistemas 2
0975,Seminario de Sistemas 2
0788,Sistemas Aplicados 1
0776,Bases de Datos Avanzadas
2009,Practicas Finales Ingenieria Ciencias y Sistemas
0720,Modelacion y Simulacion 2
0787,Sistemas Organizacionales y Gerenciales 2
0790,Emprendedores de Negocios Informaticos
0968,Inteligencia Artificial 2
0974,Redes de Nueva Generacion
0780,Software Avanzado
0789,Sistemas Aplicados 2
0735,Auditoria de Proyectos de Software
7999,Seminario de Investigacion EPS Sistemas
0799,Seminario de Investigacion
